,Subject,CardSort_Unadj,Flanker_Unadj,IWRD_TOT,ProcSpeed_Unadj,ListSort_Unadj,PicVocab_Unadj,ReadEng_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,AngAffect_Unadj,AngHostil_Unadj,FearAffect_Unadj,PercStress_Unadj,Sadness_Unadj
0,100206,119.14,130.42,34,138.72,112.89,119.8914,113.546,45.6,50.0,48.4,54.8,61.7,63.3,57.8,55.0
1,100307,123.75,112.56,35,122.65,108.06,107.2,111.07,48.0,42.4,46.2,46.9,60.8,53.9,57.9,53.4
2,100408,111.14,121.18,37,107.08,108.06,134.24,131.81,57.7,51.9,48.4,50.6,42.8,55.1,46.8,49.9
3,100610,129.84,126.53,38,111.11,117.39,140.8151,141.3166,60.1,46.8,55.1,47.5,49.1,49.6,37.8,44.2
4,101006,105.19,101.85,37,90.59,93.9,95.42348,113.5374,46.5,48.1,42.0,59.0,49.0,49.3,48.8,48.7
5,101309,99.76,113.67,34,105.28,117.39,123.3551,106.9173,48.5,71.6,52.8,38.3,36.6,43.3,42.9,38.5
6,101915,102.25,98.94,35,103.25,117.39,121.63,120.95,70.6,71.6,62.4,43.9,40.5,49.0,42.6,42.7
7,102109,112.47,110.38,32,93.82,121.89,122.3403,115.1095,64.5,53.5,56.4,40.5,40.9,41.1,47.7,38.1
8,102513,102.84,86.31,35,60.09,112.89,121.2287,124.8705,47.9,41.2,50.2,51.8,36.6,49.3,61.8,49.9
9,102614,124.08,124.64,38,152.77,117.39,112.6225,106.7909,60.1,53.7,55.7,49.0,51.4,47.2,39.6,44.8
10,102715,116.16,104.59,35,126.95,117.39,124.4154,121.6283,64.5,48.8,52.7,35.2,48.0,32.9,28.6,34.2
11,103111,107.69,103.86,34,97.15,126.18,123.1029,118.7641,55.0,62.9,50.2,50.1,36.6,49.6,47.5,45.8
12,103414,107.52,102.76,37,110.41,112.89,108.83,111.35,57.1,53.6,50.2,44.2,47.7,49.0,50.9,41.7
13,103818,107.93,101.75,37,107.0,117.39,130.89,120.49,43.0,32.7,44.4,49.8,46.0,52.9,48.3,49.9
14,104012,110.61,100.62,35,109.05,96.99,107.49,102.5179,59.7,55.8,48.4,43.8,47.1,50.7,48.3,45.0
15,104416,119.59,115.12,31,134.82,108.06,124.514,128.4841,62.8,61.2,63.2,48.4,38.0,51.2,35.7,43.9
16,105014,101.87,97.68,37,90.22,112.89,115.13,130.17,65.8,63.2,52.7,42.8,45.4,51.4,42.9,41.9
17,105115,109.62,106.14,37,103.91,126.18,121.81,119.17,55.0,40.4,46.5,51.8,52.3,51.2,55.5,55.0
18,105216,138.6,137.11,40,125.96,121.89,126.21,125.67,51.1,33.6,40.3,54.3,48.4,58.0,51.6,55.2
19,105620,143.94,115.04,38,121.22,121.89,120.2309,125.504,57.1,43.9,50.2,46.2,60.8,44.3,55.0,41.7
20,105923,109.81,112.7,40,76.8,117.39,114.8966,129.6218,54.4,48.1,52.4,41.9,49.3,49.6,47.1,39.1
21,106016,111.97,113.61,35,116.45,108.06,115.38,117.37,57.7,51.9,50.2,46.0,51.4,49.6,46.2,48.1
22,106319,128.03,113.89,40,94.79,104.06,126.34,131.75,43.0,33.6,41.7,57.0,48.0,61.5,61.1,63.4
23,106521,124.39,113.07,37,145.54,133.93,125.0447,135.9465,45.4,43.6,45.0,32.0,58.6,47.2,40.7,45.7
24,106824,114.82,111.44,39,121.22,130.38,123.0852,119.5151,59.7,50.0,50.2,47.7,60.2,42.6,52.3,49.4
25,107018,103.3,101.57,37,115.83,108.06,121.8928,120.6881,60.1,50.0,54.2,48.0,40.9,46.7,50.6,41.7
26,107321,115.07,126.63,37,127.84,130.38,128.4,123.78,46.8,36.7,42.0,47.7,46.2,49.6,44.1,43.6
27,107422,114.79,126.11,38,128.25,137.98,133.0329,134.8629,55.0,46.0,50.2,45.1,46.3,51.2,46.8,39.6
28,108020,122.44,116.83,34,113.4,117.39,115.7674,110.5715,62.8,53.5,50.2,46.5,56.9,49.0,45.3,45.0
29,108222,109.98,118.42,40,113.4,144.5,127.3699,124.2336,57.1,39.9,50.2,48.2,47.6,53.9,41.5,46.1
30,108323,119.66,121.42,36,119.54,108.06,111.61,115.11,62.8,57.8,49.6,47.1,59.5,46.0,51.0,45.6
31,108525,93.21,96.17,35,86.59,100.43,106.37,103.24,47.2,50.0,50.2,46.1,36.6,45.3,33.0,48.1
32,108828,102.62,105.22,36,113.22,100.43,118.8,119.15,36.7,46.2,29.8,64.7,73.6,70.4,69.8,65.8
33,110007,111.82,113.84,36,105.28,108.06,113.4609,108.4767,74.6,55.7,52.7,40.4,40.9,32.9,33.9,34.2
34,110411,125.37,118.25,40,122.73,121.89,126.18,125.44,57.1,45.3,52.7,44.2,45.0,49.0,31.6,34.2
35,110613,110.78,94.58,36,89.64,130.38,121.337,121.6983,59.7,50.0,56.4,33.6,40.5,42.6,29.2,34.2
36,111009,124.54,127.2,39,86.86,112.89,153.0889,118.366,65.8,60.4,50.2,57.3,51.7,55.7,44.4,49.9
37,111312,117.23,113.67,34,118.64,108.06,107.67,96.09,55.0,43.9,50.2,32.0,42.8,52.9,35.6,34.2
38,111413,136.1,128.39,32,114.75,104.06,109.41,119.01,41.2,50.0,48.1,56.8,61.2,57.7,57.3,60.5
39,111514,117.26,119.81,39,121.23,108.06,146.9198,123.8282,49.8,46.0,38.4,44.2,55.5,41.2,50.2,34.2
40,111716,110.53,100.7,37,103.3,104.06,123.57,128.71,57.1,64.3,55.3,66.9,54.8,46.6,47.8,44.9
41,112112,103.46,109.37,36,113.4,104.06,123.1805,120.0745,62.8,60.0,62.4,28.6,51.7,46.0,45.0,34.2
42,112314,112.42,115.73,33,110.12,108.06,121.6903,113.6531,50.9,55.6,52.7,49.8,63.0,58.0,54.4,49.9
43,112516,100.45,116.96,39,111.11,100.43,118.6195,103.4653,71.9,65.5,50.2,52.2,45.1,56.0,43.6,43.4
44,112920,111.59,104.78,37,104.06,130.38,123.8164,116.5932,65.6,59.5,55.1,47.5,54.2,41.5,40.9,51.3
45,113215,121.37,142.11,38,128.55,130.38,120.31,128.18,52.0,43.5,44.1,63.9,59.4,58.3,64.7,53.5
